Strategy,N_Train,Batch_Size,Repetition,Epochs_Run,Train_Time_s,Time_per_Epoch_s,MAE_Energy,MAE_Force
classic,5000,128,6,1315,938.23,0.7135,0.1262873715877533,1.051686634657118
classic,5000,128,7,1635,1167.24,0.7139,0.13524273948669432,1.1855668640136718
auto-diff,5000,128,1,1574,3933.44,2.499,0.08688663263320923,0.2879881164126926
auto-diff,5000,128,2,1114,2789.1,2.5037,0.08868952454328537,0.30134227273729114
auto-diff,5000,128,3,1225,3064.69,2.5018,0.08629506070613861,0.28955476735432945
auto-diff,5000,128,4,1242,3100.55,2.4964,0.08753804259300232,0.2972416581471761
auto-diff,5000,128,5,1510,3259.13,2.1584,0.08683538951873779,0.2891391934288873
auto-diff,5000,128,6,1812,3905.28,2.1552,0.08702860918045044,0.2911781007554796
auto-diff,5000,128,7,994,2141.93,2.1549,0.08775757026672364,0.29678698162502715
gradient,5000,128,1,1819,3909.8,2.1494,0.08706220645904542,0.2919677377065023
gradient,5000,128,2,1365,2935.49,2.1505,0.08514784336090088,0.2806688512166341
gradient,5000,128,3,1180,2550.99,2.1619,0.08651291394233704,0.2892473404354519
gradient,5000,128,4,1686,3636.87,2.1571,0.08648037109375,0.2879942306518555
gradient,5000,128,5,955,2052.67,2.1494,0.08782821006774902,0.2928637168036567
gradient,5000,128,6,1833,3939.18,2.149,0.08672812519073486,0.28757974552578397
gradient,5000,128,7,1067,2292.76,2.1488,0.08677641315460205,0.2915635580698649
